Experimental Item,SS,SP,SSS,SPS,SSP,SPP,SSA,SPA
The advertisement from the office of the real estate agent,The advertisement from the office,The advertisement from the offices,The advertisement from the office of the real estate agent,The advertisement from the offices of the real estate agent,The advertisement from the office of the real estate agents,The advertisement from the offices of the real estate agents,The advertisement from the office here,The advertisement from the offices here
The announcement by the director of the foundation,The announcement by the director,The announcement by the directors,The announcement by the director of the foundation,The announcement by the directors of the foundation,The announcement by the director of the foundations,The announcement by the directors of the foundations,The announcement by the director today,The announcement by the directors today
The article by the writer for the magazine,The article by the writer,The article by the writers,The article by the writer for the magazine,The article by the writers for the magazine,The article by the writer for the magazines,The article by the writers for the magazines,The article by the writer yesterday,The article by the writers yesterday
The author of the speech about the city,The author of the speech,The author of the speechs,The author of the speech about the city,The author of the speeches about the city,The author of the speech about the cities,The author of the speeches about the cities,The author of the speech yesterday,The author of the speeches yesterday
The computer with the program for the experiment,The computer with the program,The computer with the programs,The computer with the program for the experiment,The computer with the programs for the experiment,The computer with the program for the experiments,The computer with the programs for the experiments,The computer with the program here,The computer with the programs here
The contract for the actor in the film,The contract for the actor,The contract for the actors,The contract for the actor in the film,The contract for the actors in the film,The contract for the actor in the films,The contract for the actors in the films,The contract for the actor there,The contract for the actors there
The discussion about the topic of the paper,The discussion about the topic,The discussion about the topics,The discussion about the topic of the paper,The discussion about the topics of the paper,The discussion about the topic of the papers,The discussion about the topics of the papers,The discussion about the topic today,The discussion about the topics today
The dog on the path around the lake,The dog on the path,The dog on the paths,The dog on the path around the lake,The dog on the paths around the lake,The dog on the path around the lakes,The dog on the paths around the lakes,The dog on the path here,The dog on the paths here
The friend of the editor of the magazine,The friend of the editor,The friend of the editors,The friend of the editor of the magazine,The friend of the editors of the magazine,The friend of the editor of the magazines,The friend of the editors of the magazines,The friend of the editor yesterday,The friend of the editors yesterday
The gift for the daughter of the visitor,The gift for the daughter,The gift for the daughters,The gift for the daughter of the visitor,The gift for the daughters of the visitor,The gift for the daughter of the visitors,The gift for the daughters of the visitors,The gift for the daughter there,The gift for the daughters there
The helicopter for the flight over the canyon,The helicopter for the flights,The helicopter for the flight over the canyon,The helicopter for the flights over the canyon,The helicopter for the flight over the canyons,The helicopter for the flights over the canyons,The helicopter for the flight today,The helicopter for the flights today,The helicopter for the flight
The article about the conference of the government,The article about the conferences,The article about the conference of the government,The article about the conferences of the government,The article about the conference of the governments,The article about the conferences of the governments,The article about the conference yesterday,The article about the conferences yesterday,The article about the conference
The letter from the friend of my cousin,The letter from the friends,The letter from the friend of my cousin,The letter from the friends of my cousin,The letter from the friend of my cousins,The letter from the friends of my cousins,The letter from the friend here,The letter from the friends here,The letter from the friend
The manual by the developer of the machine,The manual by the developers,The manual by the developer of the machine,The manual by the developers of the machine,The manual by the developer of the machines,The manual by the developers of the machines,The manual by the developer there,The manual by the developers there,The manual by the developer
The rope on the dock of the yacht,The rope on the docks,The rope on the dock of the yacht,The rope on the docks of the yacht,The rope on the dock of the yachts,The rope on the docks of the yachts,The rope on the dock here,The rope on the docks here,The rope on the dock
The meal for the guest of the inn-keeper,The meal for the guests,The meal for the guest of the inn-keeper,The meal for the guests of the inn-keeper,The meal for the guest of the inn-keepers,The meal for the guests of the inn-keepers,The meal for the guest today,The meal for the guests today,The meal for the guest
The museum with the picture of the poet,The museum with the pictures,The museum with the picture of the poet,The museum with the pictures of the poet,The museum with the picture of the poets,The museum with the pictures of the poets,The museum with the picture there,The museum with the pictures there,The museum with the picture
